gender,age,senior_citizen,dependents,number_of_dependents,married,city,phone_service,internet_service,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type,contract,paperless_billing,payment_method,monthly_charges,avg_monthly_long_distance_charges,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,tenure,multiple_lines,avg_monthly_gb_download,unlimited_data,offer,referred_a_friend,number_of_referrals,satisfaction_score,cltv,customer_status,churn_score,churn_value,churn_category,churn_reason
Male,47,No,No,0,No,Rancho Santa Fe,No,Yes,Yes,No,No,Yes,Yes,No,No,Cable,Two Year,No,Credit card (automatic),45.2,0.0,2460.55,0.0,0,0.0,2460.55,54,No,10,Yes,No Offer,No,0,4,5435,Stayed,54,0,Not Applicable,
Female,25,No,Yes,2,Yes,Sunnyvale,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Credit card (automatic),116.8,16.01,8456.75,0.0,0,1152.72,9609.47,72,Yes,59,Yes,No Offer,Yes,2,3,6252,Stayed,52,0,Not Applicable,
Female,58,No,No,0,Yes,Antelope,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,68.95,18.65,351.5,0.0,0,93.25,444.75,5,No,10,Yes,No Offer,No,0,3,5536,Stayed,57,0,Not Applicable,
Female,32,No,No,0,No,La Mesa,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Fiber Optic,Two Year,Yes,Bank transfer (automatic),101.3,2.25,7261.25,0.0,0,162.0,7423.25,72,Yes,16,Yes,Offer A,No,0,3,5513,Stayed,53,0,Not Applicable,
Female,39,No,No,0,No,Los Olivos,No,Yes,Yes,Yes,Yes,Yes,No,No,No,DSL,Two Year,No,Bank transfer (automatic),45.05,0.0,2560.1,0.0,0,0.0,2560.1,56,No,19,Yes,No Offer,No,0,3,5795,Stayed,37,0,Not Applicable,
Female,58,No,Yes,2,Yes,Woodlake,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Fiber Optic,Two Year,Yes,Credit card (automatic),95.75,27.26,6849.4,0.0,0,1935.46,8784.86,71,Yes,12,Yes,Offer A,Yes,9,5,4865,Stayed,26,0,Not Applicable,
Female,52,No,Yes,1,Yes,Point Reyes Station,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,DSL,One Year,No,Mailed check,61.25,0.0,1993.2,0.0,0,0.0,1993.2,34,No,20,Yes,No Offer,No,0,4,3607,Stayed,37,0,Not Applicable,
Female,72,Yes,No,0,No,San Marcos,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,One Year,Yes,Electronic check,72.1,7.77,72.1,0.0,0,7.77,79.87,1,Yes,22,Yes,Offer E,No,0,4,4432,Joined,50,0,Not Applicable,
Male,79,Yes,No,0,No,Daly City,Yes,Yes,Yes,No,Yes,No,No,Yes,No,DSL,One Year,No,Credit card (automatic),62.7,10.67,2791.5,0.0,0,480.15,3271.65,45,No,17,Yes,No Offer,No,0,1,2654,Churned,92,1,Dissatisfaction,Limited range of services
Male,67,Yes,No,0,No,Morgan Hill,No,Yes,No,No,No,No,No,No,No,Cable,Month-to-Month,Yes,Electronic check,25.1,0.0,25.1,0.0,0,0.0,25.1,1,No,9,Yes,No Offer,No,0,3,5437,Churned,85,1,Competitor,Competitor made better offer
Female,79,Yes,No,0,Yes,Ahwahnee,Yes,No,No,No,No,No,No,No,No,No,One Year,No,Electronic check,25.2,31.43,1306.3,0.0,0,1571.5,2877.8,50,Yes,0,No,No Offer,No,0,3,4015,Stayed,61,0,Not Applicable,
Female,26,No,No,0,Yes,Carnelian Bay,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Fiber Optic,Month-to-Month,No,Electronic check,94.1,43.56,1215.6,0.0,0,566.28,1781.88,13,Yes,52,Yes,No Offer,Yes,1,1,2973,Churned,75,1,Other,Don't know
Female,30,No,Yes,2,Yes,Alpaugh,Yes,Yes,No,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,83.75,34.91,1849.95,0.0,0,802.93,2652.88,23,Yes,30,Yes,Offer D,Yes,1,4,3585,Stayed,78,0,Not Applicable,
Female,22,No,No,0,No,Keeler,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed check,19.85,3.12,57.2,0.0,0,9.36,66.56,3,No,0,No,No Offer,No,0,4,5634,Joined,59,0,Not Applicable,
Female,34,No,No,0,Yes,Korbel,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed check,20.35,12.43,76.35,0.0,0,49.72,126.07,4,No,0,No,Offer E,No,0,1,4133,Churned,81,1,Price,Long distance charges
Female,37,No,Yes,1,Yes,Palomar Mountain,No,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-Month,No,Bank transfer (automatic),30.5,0.0,30.5,0.0,0,0.0,30.5,1,No,19,Yes,No Offer,Yes,1,1,5171,Churned,74,1,Attitude,Attitude of service provider
Female,37,No,Yes,3,Yes,Parlier,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Bank transfer (automatic),103.7,35.04,5656.75,0.0,20,1927.2,7603.95,55,No,57,No,No Offer,Yes,10,3,5892,Stayed,65,0,Not Applicable,
Male,42,No,Yes,3,Yes,Modesto,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Credit card (automatic),20.4,19.7,1090.6,0.0,0,1063.8,2154.4,54,No,0,No,No Offer,Yes,3,4,6393,Stayed,60,0,Not Applicable,
Male,64,No,No,0,No,Glen Ellen,Yes,No,No,No,No,No,No,No,No,No,One Year,Yes,Bank transfer (automatic),19.6,37.7,471.85,21.25,0,980.2,1430.8,26,No,0,No,Offer C,No,0,4,3722,Stayed,26,0,Not Applicable,
Female,47,No,Yes,3,Yes,Eureka,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Bank transfer (automatic),19.7,38.39,1396.9,0.0,0,2648.91,4045.81,69,No,0,No,No Offer,Yes,5,5,4131,Stayed,76,0,Not Applicable,
Male,23,No,Yes,3,Yes,Moss Beach,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic,One Year,No,Credit card (automatic),91.2,43.01,3247.55,0.0,0,1591.37,4838.92,37,No,51,Yes,Offer C,Yes,1,5,5263,Stayed,55,0,Not Applicable,
Female,48,No,No,0,Yes,Los Angeles,Yes,No,No,No,No,No,No,No,No,No,One Year,No,Bank transfer (automatic),20.45,49.58,900.9,0.0,0,2429.42,3330.32,49,No,0,No,Offer B,Yes,5,3,6061,Stayed,20,0,Not Applicable,
Male,28,No,No,0,Yes,Los Angeles,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,No,Bank transfer (automatic),115.8,43.77,7942.15,0.0,0,2888.82,10830.97,66,Yes,41,Yes,No Offer,Yes,9,3,5845,Stayed,42,0,Not Applicable,
Female,28,No,No,0,No,Calexico,Yes,No,No,No,No,No,No,No,No,No,One Year,No,Electronic check,20.55,23.12,1343.4,30.53,0,1549.04,2861.91,67,No,0,No,No Offer,No,0,5,5462,Stayed,72,0,Not Applicable,
Male,33,No,Yes,1,Yes,Redding,No,Yes,Yes,No,Yes,Yes,No,No,No,Cable,Two Year,Yes,Credit card (automatic),39.4,0.0,825.4,0.0,0,0.0,825.4,20,No,22,Yes,No Offer,Yes,4,3,3899,Stayed,29,0,Not Applicable,
Female,31,No,Yes,3,No,San Martin,Yes,No,No,No,No,No,No,No,No,No,Two Year,Yes,Electronic check,25.1,30.64,1070.15,0.0,0,1317.52,2387.67,43,Yes,0,No,No Offer,No,0,4,4797,Stayed,59,0,Not Applicable,
Female,37,No,No,0,Yes,Stockton,Yes,Yes,Yes,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),89.8,5.08,4959.6,0.0,0,279.4,5239.0,55,Yes,9,Yes,Offer B,Yes,2,3,5875,Stayed,42,0,Not Applicable,
Female,60,No,No,0,Yes,Los Angeles,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,94.75,16.39,5597.65,0.0,0,967.01,6564.66,59,Yes,14,Yes,Offer B,Yes,4,3,5238,Stayed,26,0,Not Applicable,
Female,48,No,Yes,3,Yes,Huntington Park,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Bank transfer (automatic),20.3,19.28,224.5,0.0,0,231.36,455.86,12,No,0,No,No Offer,Yes,3,5,5190,Stayed,57,0,Not Applicable,
Male,60,No,Yes,3,Yes,Yermo,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),75.75,25.26,1929.0,0.0,0,682.02,2611.02,27,Yes,23,Yes,Offer C,Yes,7,3,4994,Stayed,46,0,Not Applicable,
Male,69,Yes,No,0,No,San Diego,Yes,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-Month,Yes,Electronic check,49.25,43.99,91.1,0.0,0,87.98,179.08,2,No,27,Yes,No Offer,No,0,2,3475,Churned,95,1,Competitor,Competitor made better offer
Female,20,No,No,0,No,Fremont,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL,One Year,No,Mailed check,78.2,48.91,2078.95,0.0,0,1320.57,3399.52,27,No,59,Yes,Offer C,No,0,3,2297,Stayed,54,0,Not Applicable,
Male,31,No,Yes,3,Yes,Santa Rosa,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Credit card (automatic),25.5,23.69,630.6,44.42,0,592.25,1178.43,25,Yes,0,No,No Offer,Yes,1,3,5230,Stayed,65,0,Not Applicable,
Male,46,No,No,0,Yes,San Jose,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Cable,One Year,Yes,Bank transfer (automatic),61.6,6.45,1611.0,44.9,0,161.25,1727.35,25,No,19,Yes,No Offer,Yes,5,3,3807,Stayed,66,0,Not Applicable,
Male,57,No,Yes,1,No,Tujunga,No,Yes,Yes,Yes,Yes,Yes,No,No,No,DSL,Month-to-Month,Yes,Mailed check,45.0,0.0,1242.45,12.26,0,0.0,1230.19,29,No,21,Yes,No Offer,No,0,4,3290,Stayed,73,0,Not Applicable,
Male,19,No,No,0,Yes,Visalia,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,Yes,Bank transfer (automatic),85.15,32.36,6316.2,0.0,0,2329.92,8646.12,72,Yes,52,Yes,No Offer,Yes,5,3,6322,Stayed,76,0,Not Applicable,
Female,64,No,No,0,No,Lodi,Yes,Yes,No,Yes,No,No,No,No,No,Cable,One Year,No,Credit card (automatic),51.45,24.04,727.85,0.0,0,336.56,1064.41,14,No,12,Yes,No Offer,No,0,3,4298,Stayed,57,0,Not Applicable,
Female,38,No,No,0,No,El Portal,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Electronic check,99.25,36.42,3532.0,0.0,0,1274.7,4806.7,35,No,2,Yes,Offer C,No,0,3,3244,Stayed,36,0,Not Applicable,
Male,54,No,No,0,No,Calistoga,Yes,Yes,No,No,No,No,No,No,No,DSL,Month-to-Month,Yes,Mailed check,44.3,42.95,44.3,0.0,0,42.95,87.25,1,No,9,Yes,Offer E,No,0,5,4427,Joined,57,0,Not Applicable,
Male,50,No,No,0,No,Farmington,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,94.2,2.05,2607.6,0.0,20,59.45,2687.05,29,No,17,No,No Offer,No,0,5,4561,Stayed,60,0,Not Applicable,
Male,25,No,No,0,No,Tulelake,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,DSL,One Year,No,Electronic check,81.25,5.49,5567.55,0.0,40,351.36,5958.91,64,Yes,69,No,No Offer,No,0,3,4761,Stayed,67,0,Not Applicable,
Female,35,No,Yes,3,Yes,Coleville,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),99.95,24.38,3767.4,0.0,0,950.82,4718.22,39,Yes,53,Yes,No Offer,Yes,1,3,4447,Stayed,43,0,Not Applicable,
Female,72,Yes,No,0,No,Ojai,Yes,Yes,No,No,No,No,Yes,Yes,No,Fiber Optic,Two Year,Yes,Electronic check,91.55,44.14,3673.6,0.0,0,1765.6,5439.2,40,No,23,Yes,No Offer,No,0,3,5742,Stayed,59,0,Not Applicable,
Male,51,No,No,0,No,Desert Hot Springs,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),104.5,37.69,4036.85,0.0,0,1507.6,5544.45,40,Yes,15,Yes,No Offer,No,0,1,2832,Churned,93,1,Competitor,Competitor had better devices
Female,78,Yes,Yes,1,No,North Hollywood,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Fiber Optic,Month-to-Month,Yes,Electronic check,95.0,11.59,1120.3,0.0,120,127.49,1367.79,11,No,29,No,Offer D,No,0,1,5980,Churned,85,1,Dissatisfaction,Product dissatisfaction
Female,30,No,No,0,Yes,Inverness,Yes,Yes,No,No,No,No,No,No,No,Cable,Month-to-Month,No,Electronic check,50.35,42.66,314.55,0.0,0,255.96,570.51,6,Yes,85,Yes,Offer E,Yes,10,3,3442,Stayed,74,0,Not Applicable,
Male,58,No,No,0,No,Santa Rosa,Yes,Yes,Yes,No,No,No,No,Yes,Yes,DSL,Month-to-Month,Yes,Mailed check,64.5,2.64,1888.45,0.0,0,79.2,1967.65,30,Yes,15,Yes,No Offer,No,0,3,5039,Stayed,48,0,Not Applicable,
Male,26,No,No,0,No,San Jose,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Electronic check,19.4,20.66,529.8,0.0,0,557.82,1087.62,27,No,0,No,No Offer,No,0,5,3792,Stayed,39,0,Not Applicable,
Male,66,Yes,No,0,Yes,Wilmington,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Fiber Optic,One Year,Yes,Electronic check,104.8,39.49,7308.95,6.11,0,2764.3,10067.14,70,Yes,28,Yes,No Offer,Yes,3,5,5291,Stayed,57,0,Not Applicable,
Female,20,No,No,0,Yes,Modesto,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Bank transfer (automatic),109.4,8.01,6252.7,0.0,0,456.57,6709.27,57,Yes,73,Yes,Offer B,Yes,10,5,6026,Stayed,65,0,Not Applicable,
Male,61,No,No,0,Yes,San Diego,Yes,Yes,No,No,Yes,No,No,No,No,DSL,One Year,No,Credit card (automatic),50.3,18.37,2878.55,10.23,0,1065.46,3933.78,58,No,18,Yes,No Offer,Yes,10,5,5232,Stayed,30,0,Not Applicable,
Male,24,No,No,0,No,Rancho Palos Verdes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,DSL,Month-to-Month,Yes,Bank transfer (automatic),71.4,25.71,1212.1,0.0,0,411.36,1623.46,16,Yes,48,Yes,No Offer,No,0,5,3360,Stayed,39,0,Not Applicable,
Female,55,No,No,0,Yes,Kenwood,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Electronic check,116.0,38.52,8182.85,0.0,0,2657.88,10840.73,69,Yes,27,Yes,Offer A,Yes,3,3,4216,Stayed,37,0,Not Applicable,
Male,32,No,No,0,No,West Point,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Electronic check,19.85,31.77,19.85,0.0,0,31.77,51.62,1,No,0,No,Offer E,No,0,2,3874,Churned,66,1,Attitude,Attitude of support person
Male,59,No,No,0,No,Los Angeles,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,99.75,40.71,99.75,0.0,0,40.71,140.46,1,Yes,25,Yes,No Offer,No,0,1,4214,Churned,93,1,Competitor,Competitor had better devices
Male,71,Yes,Yes,1,Yes,Morongo Valley,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Mailed check,93.95,31.86,2861.45,0.0,0,1019.52,3880.97,32,No,23,Yes,Offer C,Yes,9,5,2844,Stayed,62,0,Not Applicable,
Male,49,No,Yes,2,Yes,Palo Verde,Yes,Yes,No,No,Yes,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),90.8,48.71,1442.2,0.0,0,779.36,2221.56,16,Yes,12,Yes,Offer D,Yes,8,3,5560,Stayed,66,0,Not Applicable,
Male,61,No,No,0,Yes,Valyermo,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Cable,One Year,No,Electronic check,84.35,39.55,4059.35,0.0,0,1937.95,5997.3,49,Yes,10,Yes,Offer B,Yes,1,2,6452,Churned,73,1,Competitor,Competitor offered higher download speeds
Female,40,No,No,0,Yes,Cambria,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Cable,Two Year,No,Bank transfer (automatic),58.25,0.0,4145.9,0.0,0,0.0,4145.9,71,No,29,Yes,Offer A,Yes,2,5,5224,Stayed,76,0,Not Applicable,
Female,39,No,No,0,No,Round Mountain,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,No,Electronic check,107.55,49.69,3645.5,0.0,0,1639.77,5285.27,33,Yes,12,Yes,No Offer,No,0,3,4800,Stayed,33,0,Not Applicable,
Female,21,No,No,0,Yes,Klamath,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank transfer (automatic),19.95,49.6,187.75,0.0,0,496.0,683.75,10,No,0,No,Offer D,Yes,9,4,3831,Stayed,54,0,Not Applicable,
Male,24,No,No,0,Yes,Fresno,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,111.2,36.26,2317.1,0.0,120,761.46,3198.56,21,Yes,59,No,No Offer,Yes,1,3,4123,Churned,89,1,Attitude,Attitude of service provider
Male,52,No,Yes,1,Yes,Angwin,No,Yes,Yes,Yes,Yes,No,No,No,No,DSL,Month-to-Month,No,Bank transfer (automatic),40.2,0.0,1448.8,0.0,0,0.0,1448.8,37,No,23,Yes,No Offer,Yes,1,2,3627,Churned,80,1,Competitor,Competitor offered more data
Female,71,Yes,No,0,No,Le Grand,Yes,Yes,Yes,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),85.8,33.74,2193.65,0.0,0,877.24,3070.89,26,No,7,Yes,No Offer,No,0,3,5700,Stayed,46,0,Not Applicable,
Male,45,No,No,0,No,Redway,No,Yes,Yes,No,No,Yes,No,No,No,DSL,One Year,Yes,Mailed check,35.4,0.0,1748.9,0.0,0,0.0,1748.9,50,No,7,Yes,Offer B,No,0,3,5052,Stayed,36,0,Not Applicable,
Female,29,No,No,0,No,San Diego,Yes,Yes,No,No,No,No,No,No,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,73.85,28.62,511.25,13.03,0,200.34,698.56,7,Yes,26,Yes,No Offer,No,0,3,2473,Churned,67,1,Competitor,Competitor made better offer
Female,62,No,No,0,Yes,Monterey Park,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,No,Mailed check,88.1,47.19,5526.75,0.0,0,2878.59,8405.34,61,Yes,28,Yes,Offer B,Yes,1,4,5152,Stayed,40,0,Not Applicable,
Male,42,No,No,0,No,Big Oak Flat,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,101.35,45.92,1553.95,0.0,0,688.8,2242.75,15,No,12,Yes,Offer D,No,0,2,3025,Churned,91,1,Attitude,Attitude of service provider
Female,51,No,Yes,2,No,Stevenson Ranch,No,Yes,Yes,No,No,Yes,No,Yes,Yes,DSL,Month-to-Month,No,Mailed check,45.8,0.0,1147.0,0.0,0,0.0,1147.0,26,No,19,Yes,No Offer,No,0,4,3287,Stayed,45,0,Not Applicable,
Male,39,No,No,0,Yes,North Highlands,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,94.65,33.22,6747.35,0.0,0,2391.84,9139.19,72,No,23,Yes,No Offer,Yes,9,3,5943,Stayed,20,0,Not Applicable,
Male,64,No,No,0,Yes,La Puente,Yes,No,No,No,No,No,No,No,No,No,One Year,Yes,Bank transfer (automatic),20.5,27.4,865.05,0.0,0,1205.6,2070.65,44,No,0,No,No Offer,Yes,1,3,3093,Stayed,59,0,Not Applicable,
Male,55,No,No,0,No,Glenhaven,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Fiber Optic,Month-to-Month,No,Credit card (automatic),89.4,48.78,5976.9,36.02,40,3219.48,9200.36,66,Yes,8,No,Offer A,No,0,3,4889,Stayed,49,0,Not Applicable,
Female,40,No,No,0,No,Alhambra,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,86.25,36.81,181.65,0.0,0,73.62,255.27,2,No,16,Yes,No Offer,No,0,2,3529,Churned,94,1,Competitor,Competitor offered higher download speeds
Female,76,Yes,No,0,No,Santa Monica,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,DSL,One Year,No,Bank transfer (automatic),74.85,7.72,3268.05,17.91,0,339.68,3589.82,44,No,17,Yes,No Offer,No,0,5,3253,Stayed,71,0,Not Applicable,
Female,57,No,No,0,No,Lodi,Yes,Yes,No,Yes,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),89.75,14.38,1052.4,0.0,0,172.56,1224.96,12,Yes,6,Yes,Offer D,No,0,3,5671,Churned,90,1,Attitude,Attitude of support person
Male,71,Yes,No,0,Yes,Los Angeles,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Fiber Optic,Two Year,Yes,Electronic check,109.95,18.41,7634.25,0.0,0,1270.29,8904.54,69,Yes,17,Yes,No Offer,Yes,1,5,4297,Stayed,63,0,Not Applicable,
Female,25,No,No,0,No,Fairfield,Yes,Yes,No,Yes,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Mailed check,80.2,1.23,80.2,0.0,0,1.23,81.43,1,Yes,69,Yes,Offer E,No,0,3,3056,Churned,90,1,Price,Lack of affordable download/upload speed
Female,24,No,No,0,No,Stockton,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed check,19.85,25.75,63.75,0.0,0,77.25,141.0,3,No,0,No,Offer E,No,0,1,3398,Churned,95,1,Price,Long distance charges
Female,19,No,No,0,Yes,Temecula,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Fiber Optic,Month-to-Month,No,Electronic check,90.35,4.65,190.5,0.0,0,9.3,199.8,2,No,53,Yes,No Offer,Yes,10,3,5361,Joined,29,0,Not Applicable,
Female,77,Yes,No,0,No,Fallbrook,Yes,Yes,No,Yes,Yes,No,No,No,No,Fiber Optic,Two Year,Yes,Bank transfer (automatic),86.45,2.97,2401.05,0.0,0,80.19,2481.24,27,Yes,4,Yes,No Offer,No,0,4,5990,Stayed,77,0,Not Applicable,
Male,57,No,No,0,No,Randsburg,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Electronic check,20.3,13.34,511.25,0.0,0,346.84,858.09,26,No,0,No,Offer C,No,0,5,5712,Stayed,68,0,Not Applicable,
Female,73,Yes,No,0,Yes,Atascadero,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,101.25,20.15,3949.15,0.0,0,785.85,4735.0,39,Yes,21,Yes,No Offer,Yes,9,4,3172,Stayed,77,0,Not Applicable,
Male,41,No,No,0,No,Planada,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),94.7,34.88,2362.1,0.0,0,872.0,3234.1,25,Yes,8,Yes,No Offer,No,0,1,5641,Churned,82,1,Competitor,Competitor had better devices
Female,43,No,No,0,No,Moorpark,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,No,Mailed check,70.9,39.81,70.9,0.0,0,39.81,110.71,1,No,23,Yes,Offer E,No,0,1,4739,Churned,78,1,Competitor,Competitor had better devices
