gender,age,senior_citizen,dependents,number_of_dependents,city,phone_service,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type,contract,paperless_billing,payment_method,monthly_charges,avg_monthly_long_distance_charges,tenure,multiple_lines,avg_monthly_gb_download,unlimited_data,offer,number_of_referrals,satisfaction_score,cltv,churn_score,churn_value
Female,39,No,No,0,Los Olivos,No,Yes,Yes,Yes,Yes,No,No,No,DSL,Two Year,No,Bank transfer (automatic),45.05,0.0,56,No,19,Yes,No Offer,0,3,5795,37,0
Female,58,No,Yes,2,Woodlake,Yes,No,Yes,Yes,No,No,Yes,Yes,Fiber Optic,Two Year,Yes,Credit card (automatic),95.75,27.26,71,Yes,12,Yes,Offer A,9,5,4865,26,0
Female,52,No,Yes,1,Point Reyes Station,No,Yes,No,Yes,Yes,Yes,Yes,Yes,DSL,One Year,No,Mailed check,61.25,0.0,34,No,20,Yes,No Offer,0,4,3607,37,0
Female,72,Yes,No,0,San Marcos,Yes,No,No,No,No,No,No,No,Fiber Optic,One Year,Yes,Electronic check,72.1,7.77,1,Yes,22,Yes,Offer E,0,4,4432,50,0
Male,79,Yes,No,0,Daly City,Yes,Yes,No,Yes,No,No,Yes,No,DSL,One Year,No,Credit card (automatic),62.7,10.67,45,No,17,Yes,No Offer,0,1,2654,92,1
Male,67,Yes,No,0,Morgan Hill,No,No,No,No,No,No,No,No,Cable,Month-to-Month,Yes,Electronic check,25.1,0.0,1,No,9,Yes,No Offer,0,3,5437,85,1
Female,79,Yes,No,0,Ahwahnee,Yes,No,No,No,No,No,No,No,No,One Year,No,Electronic check,25.2,31.43,50,Yes,0,No,No Offer,0,3,4015,61,0
Female,26,No,No,0,Carnelian Bay,Yes,No,Yes,Yes,No,Yes,No,No,Fiber Optic,Month-to-Month,No,Electronic check,94.1,43.56,13,Yes,52,Yes,No Offer,1,1,2973,75,1
Female,30,No,Yes,2,Alpaugh,Yes,No,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,83.75,34.91,23,Yes,30,Yes,Offer D,1,4,3585,78,0
Female,22,No,No,0,Keeler,Yes,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed check,19.85,3.12,3,No,0,No,No Offer,0,4,5634,59,0
Female,34,No,No,0,Korbel,Yes,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed check,20.35,12.43,4,No,0,No,Offer E,0,1,4133,81,1
Female,37,No,Yes,1,Palomar Mountain,No,Yes,No,No,No,No,No,No,DSL,Month-to-Month,No,Bank transfer (automatic),30.5,0.0,1,No,19,Yes,No Offer,1,1,5171,74,1
Female,37,No,Yes,3,Parlier,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Bank transfer (automatic),103.7,35.04,55,No,57,No,No Offer,10,3,5892,65,0
Male,42,No,Yes,3,Modesto,Yes,No,No,No,No,No,No,No,No,Two Year,No,Credit card (automatic),20.4,19.7,54,No,0,No,No Offer,3,4,6393,60,0
Male,64,No,No,0,Glen Ellen,Yes,No,No,No,No,No,No,No,No,One Year,Yes,Bank transfer (automatic),19.6,37.7,26,No,0,No,Offer C,0,4,3722,26,0
Female,47,No,Yes,3,Eureka,Yes,No,No,No,No,No,No,No,No,Two Year,No,Bank transfer (automatic),19.7,38.39,69,No,0,No,No Offer,5,5,4131,76,0
Male,23,No,Yes,3,Moss Beach,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic,One Year,No,Credit card (automatic),91.2,43.01,37,No,51,Yes,Offer C,1,5,5263,55,0
Female,48,No,No,0,Los Angeles,Yes,No,No,No,No,No,No,No,No,One Year,No,Bank transfer (automatic),20.45,49.58,49,No,0,No,Offer B,5,3,6061,20,0
Male,28,No,No,0,Los Angeles,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,No,Bank transfer (automatic),115.8,43.77,66,Yes,41,Yes,No Offer,9,3,5845,42,0
Female,28,No,No,0,Calexico,Yes,No,No,No,No,No,No,No,No,One Year,No,Electronic check,20.55,23.12,67,No,0,No,No Offer,0,5,5462,72,0
Male,33,No,Yes,1,Redding,No,Yes,No,Yes,Yes,No,No,No,Cable,Two Year,Yes,Credit card (automatic),39.4,0.0,20,No,22,Yes,No Offer,4,3,3899,29,0
Female,31,No,Yes,3,San Martin,Yes,No,No,No,No,No,No,No,No,Two Year,Yes,Electronic check,25.1,30.64,43,Yes,0,No,No Offer,0,4,4797,59,0
Female,37,No,No,0,Stockton,Yes,Yes,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),89.8,5.08,55,Yes,9,Yes,Offer B,2,3,5875,42,0
Female,60,No,No,0,Los Angeles,Yes,Yes,Yes,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,94.75,16.39,59,Yes,14,Yes,Offer B,4,3,5238,26,0
Female,48,No,Yes,3,Huntington Park,Yes,No,No,No,No,No,No,No,No,Two Year,No,Bank transfer (automatic),20.3,19.28,12,No,0,No,No Offer,3,5,5190,57,0
Male,60,No,Yes,3,Yermo,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),75.75,25.26,27,Yes,23,Yes,Offer C,7,3,4994,46,0
Male,69,Yes,No,0,San Diego,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-Month,Yes,Electronic check,49.25,43.99,2,No,27,Yes,No Offer,0,2,3475,95,1
Female,20,No,No,0,Fremont,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL,One Year,No,Mailed check,78.2,48.91,27,No,59,Yes,Offer C,0,3,2297,54,0
Male,31,No,Yes,3,Santa Rosa,Yes,No,No,No,No,No,No,No,No,Two Year,No,Credit card (automatic),25.5,23.69,25,Yes,0,No,No Offer,1,3,5230,65,0
Male,46,No,No,0,San Jose,Yes,Yes,Yes,Yes,No,No,No,No,Cable,One Year,Yes,Bank transfer (automatic),61.6,6.45,25,No,19,Yes,No Offer,5,3,3807,66,0
Male,57,No,Yes,1,Tujunga,No,Yes,Yes,Yes,Yes,No,No,No,DSL,Month-to-Month,Yes,Mailed check,45.0,0.0,29,No,21,Yes,No Offer,0,4,3290,73,0
Male,19,No,No,0,Visalia,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,Yes,Bank transfer (automatic),85.15,32.36,72,Yes,52,Yes,No Offer,5,3,6322,76,0
Female,64,No,No,0,Lodi,Yes,No,Yes,No,No,No,No,No,Cable,One Year,No,Credit card (automatic),51.45,24.04,14,No,12,Yes,No Offer,0,3,4298,57,0
Female,38,No,No,0,El Portal,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Electronic check,99.25,36.42,35,No,2,Yes,Offer C,0,3,3244,36,0
Male,54,No,No,0,Calistoga,Yes,No,No,No,No,No,No,No,DSL,Month-to-Month,Yes,Mailed check,44.3,42.95,1,No,9,Yes,Offer E,0,5,4427,57,0
Male,50,No,No,0,Farmington,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,94.2,2.05,29,No,17,No,No Offer,0,5,4561,60,0
Male,25,No,No,0,Tulelake,Yes,Yes,Yes,Yes,Yes,Yes,No,No,DSL,One Year,No,Electronic check,81.25,5.49,64,Yes,69,No,No Offer,0,3,4761,67,0
Female,35,No,Yes,3,Coleville,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),99.95,24.38,39,Yes,53,Yes,No Offer,1,3,4447,43,0
Female,72,Yes,No,0,Ojai,Yes,No,No,No,No,Yes,Yes,No,Fiber Optic,Two Year,Yes,Electronic check,91.55,44.14,40,No,23,Yes,No Offer,0,3,5742,59,0
Male,51,No,No,0,Desert Hot Springs,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),104.5,37.69,40,Yes,15,Yes,No Offer,0,1,2832,93,1
Female,78,Yes,Yes,1,North Hollywood,Yes,No,Yes,No,No,Yes,Yes,No,Fiber Optic,Month-to-Month,Yes,Electronic check,95.0,11.59,11,No,29,No,Offer D,0,1,5980,85,1
Female,30,No,No,0,Inverness,Yes,No,No,No,No,No,No,No,Cable,Month-to-Month,No,Electronic check,50.35,42.66,6,Yes,85,Yes,Offer E,10,3,3442,74,0
Male,58,No,No,0,Santa Rosa,Yes,Yes,No,No,No,No,Yes,Yes,DSL,Month-to-Month,Yes,Mailed check,64.5,2.64,30,Yes,15,Yes,No Offer,0,3,5039,48,0
Male,26,No,No,0,San Jose,Yes,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Electronic check,19.4,20.66,27,No,0,No,No Offer,0,5,3792,39,0
Male,66,Yes,No,0,Wilmington,Yes,No,Yes,Yes,No,Yes,Yes,No,Fiber Optic,One Year,Yes,Electronic check,104.8,39.49,70,Yes,28,Yes,No Offer,3,5,5291,57,0
Female,20,No,No,0,Modesto,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Bank transfer (automatic),109.4,8.01,57,Yes,73,Yes,Offer B,10,5,6026,65,0
Male,61,No,No,0,San Diego,Yes,No,No,Yes,No,No,No,No,DSL,One Year,No,Credit card (automatic),50.3,18.37,58,No,18,Yes,No Offer,10,5,5232,30,0
Male,24,No,No,0,Rancho Palos Verdes,Yes,No,Yes,Yes,No,No,Yes,Yes,DSL,Month-to-Month,Yes,Bank transfer (automatic),71.4,25.71,16,Yes,48,Yes,No Offer,0,5,3360,39,0
Female,55,No,No,0,Kenwood,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Electronic check,116.0,38.52,69,Yes,27,Yes,Offer A,3,3,4216,37,0
Male,32,No,No,0,West Point,Yes,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Electronic check,19.85,31.77,1,No,0,No,Offer E,0,2,3874,66,1
Male,59,No,No,0,Los Angeles,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,99.75,40.71,1,Yes,25,Yes,No Offer,0,1,4214,93,1
Male,71,Yes,Yes,1,Morongo Valley,Yes,No,Yes,No,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Mailed check,93.95,31.86,32,No,23,Yes,Offer C,9,5,2844,62,0
Male,49,No,Yes,2,Palo Verde,Yes,No,No,Yes,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),90.8,48.71,16,Yes,12,Yes,Offer D,8,3,5560,66,0
Male,61,No,No,0,Valyermo,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Cable,One Year,No,Electronic check,84.35,39.55,49,Yes,10,Yes,Offer B,1,2,6452,73,1
Female,40,No,No,0,Cambria,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Cable,Two Year,No,Bank transfer (automatic),58.25,0.0,71,No,29,Yes,Offer A,2,5,5224,76,0
Female,39,No,No,0,Round Mountain,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,No,Electronic check,107.55,49.69,33,Yes,12,Yes,No Offer,0,3,4800,33,0
Female,21,No,No,0,Klamath,Yes,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank transfer (automatic),19.95,49.6,10,No,0,No,Offer D,9,4,3831,54,0
Male,24,No,No,0,Fresno,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,111.2,36.26,21,Yes,59,No,No Offer,1,3,4123,89,1
Male,52,No,Yes,1,Angwin,No,Yes,Yes,Yes,No,No,No,No,DSL,Month-to-Month,No,Bank transfer (automatic),40.2,0.0,37,No,23,Yes,No Offer,1,2,3627,80,1
Female,71,Yes,No,0,Le Grand,Yes,Yes,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),85.8,33.74,26,No,7,Yes,No Offer,0,3,5700,46,0
Male,45,No,No,0,Redway,No,Yes,No,No,Yes,No,No,No,DSL,One Year,Yes,Mailed check,35.4,0.0,50,No,7,Yes,Offer B,0,3,5052,36,0
Female,29,No,No,0,San Diego,Yes,No,No,No,No,No,No,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,73.85,28.62,7,Yes,26,Yes,No Offer,0,3,2473,67,1
Female,62,No,No,0,Monterey Park,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,No,Mailed check,88.1,47.19,61,Yes,28,Yes,Offer B,1,4,5152,40,0
Male,42,No,No,0,Big Oak Flat,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,101.35,45.92,15,No,12,Yes,Offer D,0,2,3025,91,1
Female,51,No,Yes,2,Stevenson Ranch,No,Yes,No,No,Yes,No,Yes,Yes,DSL,Month-to-Month,No,Mailed check,45.8,0.0,26,No,19,Yes,No Offer,0,4,3287,45,0
Male,39,No,No,0,North Highlands,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,94.65,33.22,72,No,23,Yes,No Offer,9,3,5943,20,0
Male,64,No,No,0,La Puente,Yes,No,No,No,No,No,No,No,No,One Year,Yes,Bank transfer (automatic),20.5,27.4,44,No,0,No,No Offer,1,3,3093,59,0
Male,55,No,No,0,Glenhaven,Yes,No,Yes,No,No,No,Yes,Yes,Fiber Optic,Month-to-Month,No,Credit card (automatic),89.4,48.78,66,Yes,8,No,Offer A,0,3,4889,49,0
Female,40,No,No,0,Alhambra,Yes,Yes,Yes,No,Yes,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,86.25,36.81,2,No,16,Yes,No Offer,0,2,3529,94,1
Female,76,Yes,No,0,Santa Monica,Yes,No,No,Yes,Yes,Yes,Yes,Yes,DSL,One Year,No,Bank transfer (automatic),74.85,7.72,44,No,17,Yes,No Offer,0,5,3253,71,0
Female,57,No,No,0,Lodi,Yes,No,Yes,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),89.75,14.38,12,Yes,6,Yes,Offer D,0,3,5671,90,1
Male,71,Yes,No,0,Los Angeles,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Fiber Optic,Two Year,Yes,Electronic check,109.95,18.41,69,Yes,17,Yes,No Offer,1,5,4297,63,0
Female,25,No,No,0,Fairfield,Yes,No,Yes,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Mailed check,80.2,1.23,1,Yes,69,Yes,Offer E,0,3,3056,90,1
Female,24,No,No,0,Stockton,Yes,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed check,19.85,25.75,3,No,0,No,Offer E,0,1,3398,95,1
Female,19,No,No,0,Temecula,Yes,Yes,Yes,No,No,Yes,No,No,Fiber Optic,Month-to-Month,No,Electronic check,90.35,4.65,2,No,53,Yes,No Offer,10,3,5361,29,0
Female,77,Yes,No,0,Fallbrook,Yes,No,Yes,Yes,No,No,No,No,Fiber Optic,Two Year,Yes,Bank transfer (automatic),86.45,2.97,27,Yes,4,Yes,No Offer,0,4,5990,77,0
Male,57,No,No,0,Randsburg,Yes,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Electronic check,20.3,13.34,26,No,0,No,Offer C,0,5,5712,68,0
Female,73,Yes,No,0,Atascadero,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,101.25,20.15,39,Yes,21,Yes,No Offer,9,4,3172,77,0
Male,41,No,No,0,Planada,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),94.7,34.88,25,Yes,8,Yes,No Offer,0,1,5641,82,1
Female,43,No,No,0,Moorpark,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,No,Mailed check,70.9,39.81,1,No,23,Yes,Offer E,0,1,4739,78,1
Male,48,No,No,0,Solvang,Yes,Yes,No,No,Yes,No,No,No,DSL,Month-to-Month,Yes,Electronic check,54.2,27.24,22,No,21,Yes,Offer D,1,2,5102,87,1
Female,56,No,No,0,Calistoga,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Electronic check,114.9,48.37,72,Yes,5,Yes,Offer A,0,4,4589,69,0
Female,51,No,No,0,La Mirada,Yes,No,No,No,No,No,No,No,No,Two Year,Yes,Bank transfer (automatic),19.55,10.64,24,No,0,No,No Offer,0,5,2511,34,0
Female,34,No,No,0,Boron,Yes,No,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,86.85,7.84,19,Yes,16,Yes,No Offer,8,5,5072,64,0
Male,21,No,Yes,2,San Marcos,Yes,No,No,No,No,No,No,No,No,Two Year,No,Credit card (automatic),25.35,9.2,71,Yes,0,No,No Offer,2,5,5747,68,0
Male,78,Yes,No,0,Desert Center,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Fiber Optic,One Year,Yes,Bank transfer (automatic),109.9,25.15,33,Yes,20,Yes,No Offer,7,3,5655,59,0
Female,60,No,No,0,Crows Landing,Yes,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed check,19.95,2.69,3,No,0,No,No Offer,0,3,5949,74,0
Male,54,No,Yes,1,Tuolumne,Yes,No,Yes,No,No,Yes,No,No,Fiber Optic,Month-to-Month,No,Electronic check,87.2,1.09,47,Yes,13,Yes,No Offer,7,3,3760,76,0
Male,42,No,Yes,3,San Diego,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,No,Mailed check,108.15,1.76,62,No,20,Yes,No Offer,2,4,5298,43,0
Male,22,No,No,0,Auburn,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Bank transfer (automatic),116.3,2.88,71,Yes,48,Yes,No Offer,0,4,4644,59,0
Male,71,Yes,No,0,Fresno,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Electronic check,89.0,41.97,7,No,11,Yes,No Offer,8,4,5711,36,0
Female,56,No,Yes,2,Del Rey,Yes,Yes,No,No,No,No,No,No,Fiber Optic,Month-to-Month,No,Mailed check,74.4,46.66,27,No,28,Yes,Offer C,6,3,4331,57,0
Male,33,No,No,0,Redwood City,Yes,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed check,20.05,1.81,2,No,0,No,No Offer,0,3,4978,59,0
Female,32,No,Yes,3,Landers,No,Yes,No,No,Yes,No,No,No,Cable,Two Year,No,Bank transfer (automatic),35.05,0.0,25,No,75,Yes,Offer C,0,4,2754,69,0
Male,80,Yes,No,0,Hawthorne,Yes,Yes,Yes,No,No,Yes,Yes,No,DSL,One Year,Yes,Electronic check,74.75,38.61,30,No,5,Yes,No Offer,0,4,3033,55,0
Female,73,Yes,No,0,Oceano,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Credit card (automatic),105.5,16.94,58,No,19,Yes,No Offer,1,1,5067,91,1
Male,26,No,No,0,Armona,Yes,No,No,No,No,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,85.25,2.02,10,Yes,82,No,Offer D,1,3,3573,75,1
Female,59,No,No,0,Clarksburg,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),75.2,9.27,9,Yes,28,Yes,No Offer,0,5,5841,68,0
Female,78,Yes,No,0,Irvine,Yes,No,No,No,No,No,Yes,No,Fiber Optic,Month-to-Month,Yes,Electronic check,84.35,28.71,6,Yes,17,Yes,No Offer,1,3,5721,77,1
Female,47,No,Yes,1,Scotts Valley,Yes,Yes,No,Yes,No,No,No,No,Fiber Optic,One Year,No,Bank transfer (automatic),84.45,38.92,69,Yes,16,No,No Offer,7,3,5629,49,0
Female,68,Yes,No,0,Salida,Yes,Yes,No,No,No,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Bank transfer (automatic),102.4,10.45,66,Yes,20,Yes,No Offer,0,3,4861,69,0
Female,30,No,No,0,Mckinleyville,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,No,Credit card (automatic),115.55,10.21,70,Yes,52,Yes,Offer A,0,1,4838,87,1
Male,62,No,No,0,Atherton,Yes,No,No,No,No,No,No,No,No,One Year,No,Bank transfer (automatic),25.3,5.57,25,Yes,0,No,Offer C,0,3,3779,79,1
Female,52,No,Yes,2,Huntington Beach,Yes,No,No,No,No,No,No,No,No,Two Year,Yes,Mailed check,19.25,24.33,46,No,0,No,Offer B,1,5,5596,77,0
Female,63,No,No,0,Calimesa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Mailed check,114.65,11.4,54,Yes,26,Yes,Offer B,7,4,4488,67,0
Female,54,No,No,0,Daly City,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,No,Electronic check,105.1,22.39,15,No,7,Yes,No Offer,0,1,2122,84,1
Female,48,No,Yes,1,Middletown,Yes,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank transfer (automatic),19.4,8.25,12,No,0,No,Offer D,0,3,3713,29,0
Female,51,No,No,0,Berkeley,No,No,Yes,No,No,Yes,Yes,Yes,Cable,Month-to-Month,Yes,Electronic check,50.35,0.0,22,No,22,Yes,No Offer,0,3,2875,73,0
Female,22,No,No,0,Lost Hills,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Cable,Two Year,No,Bank transfer (automatic),57.8,0.0,70,No,85,Yes,No Offer,9,4,5640,42,0
Male,52,No,No,0,Garden Grove,Yes,Yes,Yes,Yes,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),84.3,24.73,30,No,20,No,Offer C,0,4,5393,66,0
Male,22,No,Yes,1,Indio,Yes,No,Yes,No,No,Yes,Yes,Yes,Fiber Optic,One Year,No,Bank transfer (automatic),100.55,28.34,71,Yes,59,Yes,Offer A,1,5,5876,37,0
Male,33,No,No,0,Oxnard,Yes,No,No,No,No,No,No,No,No,One Year,No,Credit card (automatic),19.8,9.81,30,No,0,No,No Offer,2,5,4006,74,0
Male,26,No,No,0,San Diego,Yes,No,Yes,Yes,No,No,No,Yes,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),84.8,28.77,4,Yes,19,Yes,Offer E,5,3,4939,73,1
Male,58,No,No,0,Escondido,Yes,No,No,Yes,No,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,85.85,14.14,2,No,28,Yes,Offer E,0,1,3273,67,1
Male,22,No,Yes,1,Moreno Valley,Yes,No,No,No,No,No,No,No,No,One Year,Yes,Bank transfer (automatic),19.95,7.86,10,No,0,No,No Offer,0,5,3044,48,0
Male,66,Yes,No,0,Chino,Yes,Yes,No,No,No,No,No,No,Fiber Optic,One Year,No,Electronic check,75.35,36.4,4,No,29,Yes,Offer E,0,3,4033,40,0
Male,69,Yes,No,0,Sacramento,No,Yes,No,No,No,Yes,Yes,Yes,DSL,Two Year,Yes,Credit card (automatic),48.8,0.0,52,No,19,Yes,Offer B,0,3,4865,67,0
Male,25,No,No,0,San Diego,Yes,No,No,No,No,No,No,Yes,Cable,Month-to-Month,No,Electronic check,47.15,22.01,5,Yes,85,Yes,No Offer,0,2,2857,82,1
Male,30,No,Yes,3,Turlock,Yes,No,No,No,No,No,No,No,No,Two Year,No,Mailed check,20.15,2.87,8,No,0,No,Offer E,1,4,3899,32,0
Female,73,Yes,No,0,Calexico,Yes,No,No,No,No,No,No,No,Cable,One Year,Yes,Electronic check,44.3,23.91,2,No,22,Yes,Offer E,0,3,3805,44,0
Male,46,No,No,0,Groveland,Yes,No,Yes,No,No,No,Yes,Yes,Fiber Optic,Month-to-Month,No,Electronic check,84.3,13.72,3,No,26,Yes,Offer E,0,5,5828,43,0
Male,40,No,No,0,Los Gatos,Yes,No,No,Yes,Yes,No,No,No,DSL,Month-to-Month,No,Electronic check,59.55,11.85,19,Yes,18,Yes,Offer D,0,4,3949,39,0
Male,53,No,No,0,Clovis,Yes,Yes,Yes,Yes,Yes,No,No,No,DSL,Two Year,No,Bank transfer (automatic),69.65,3.66,72,Yes,13,Yes,Offer A,0,5,4262,32,0
Male,76,Yes,No,0,Hyampom,No,Yes,No,No,Yes,No,No,No,DSL,One Year,No,Bank transfer (automatic),36.1,0.0,63,No,7,Yes,Offer B,2,3,5089,48,0
